													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.  If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Shulchan Arukh, Choshen Mishpat	Joseph Karo	The Shulhan Arukh ("Set Table") is the most widely consulted code of Jewish law. It was authored in Safed, Israel, by Josef Karo in 1563 and published in Venice two years later. The Shulhan Arukh and its forerunner, the Beit Yosef follows the same structure as Arba'ah Turim by Rabbi Jacob ben Asher. There are four sections, each subdivided into many chapters and paragraphs. The rulings in generally follow Sephardi practice whereas Ashkenazi Jews will generally follow the rulings of Moses Isserles whose glosses note the differences in customs. These glosses are widely referred to as the Mappah ("tablecloth"). Almost all published editions of the Shulhan Arukh include this gloss, and the term Shulhan Arukh has come to identified as a single work. The first section is Orah Hayyim; laws of prayer and synagogue, Sabbath, holidays;		1563		Safed	1564	Venice	Achronim	C.M.,Hoshen Mishpat,Choshen Mishpat,Shulchan Arukh Choshen Mishpat,Ch.M.,Shulchan Aruch Choshen Mishpat	חושן משפט	שולחן ערוך חושן משפט	Halakhah,Shulchan Arukh
Shulchan Arukh, Even HaEzer	Joseph Karo	The Shulhan Arukh ("Set Table") is the most widely consulted code of Jewish law. It was authored in Safed, Israel, by Josef Karo in 1563 and published in Venice two years later. The Shulhan Arukh and its forerunner, the Beit Yosef follows the same structure as Arba'ah Turim by Rabbi Jacob ben Asher. There are four sections, each subdivided into many chapters and paragraphs. The rulings in generally follow Sephardi practice whereas Ashkenazi Jews will generally follow the rulings of Moses Isserles whose glosses note the differences in customs. These glosses are widely referred to as the Mappah ("tablecloth"). Almost all published editions of the Shulhan Arukh include this gloss, and the term Shulhan Arukh has come to identified as a single work. The second section is Yoreh Deah - laws of kashrut; religious conversion; Mourning; Laws pertaining to Israel; Laws of family purity.		1563		Safed	1564	Venice	Achronim	Even HaEzer,EH,E.H.,Even Haezer,Shulchan Arukh Even HaEzer,Shulchan Aruch Even HaEzer	אבן העזר	שולחן ערוך אבן העזר	Halakhah,Shulchan Arukh
Shulchan Arukh, Orach Chayyim	Joseph Karo	The Shulhan Arukh ("Set Table") is the most widely consulted code of Jewish law. It was authored in Safed, Israel, by Josef Karo in 1563 and published in Venice two years later. The Shulhan Arukh and its forerunner, the Beit Yosef follows the same structure as Arba'ah Turim by Rabbi Jacob ben Asher. There are four sections, each subdivided into many chapters and paragraphs. The rulings in generally follow Sephardi practice whereas Ashkenazi Jews will generally follow the rulings of Moses Isserles whose glosses note the differences in customs. These glosses are widely referred to as the Mappah ("tablecloth"). Almost all published editions of the Shulhan Arukh include this gloss, and the term Shulhan Arukh has come to identified as a single work. The third section is Even Ha-Ezer - laws of marriage, divorce and related issues.		1563		Safed	1564	Venice	Achronim	O.Ch.,Orach Chaim,Orach Chayyim,Orah Hayyim,shulchan aruch orach chaim	אורח חיים	שולחן ערוך אורח חיים	Halakhah,Shulchan Arukh
Shulchan Arukh, Yoreh De'ah	Joseph Karo	The Shulhan Arukh ("Set Table") is the most widely consulted code of Jewish law. It was authored in Safed, Israel, by Josef Karo in 1563 and published in Venice two years later. The Shulhan Arukh and its forerunner, the Beit Yosef follows the same structure as Arba'ah Turim by Rabbi Jacob ben Asher. There are four sections, each subdivided into many chapters and paragraphs. The rulings in generally follow Sephardi practice whereas Ashkenazi Jews will generally follow the rulings of Moses Isserles whose glosses note the differences in customs. These glosses are widely referred to as the Mappah ("tablecloth"). Almost all published editions of the Shulhan Arukh include this gloss, and the term Shulhan Arukh has come to identified as a single work.The fourth section is Hoshen Mishpat - laws of finance, financial responsibility, damages (personal and financial), and the rules of the Bet Din, as well as the laws of witnesses		1563		Safed	1564	Venice	Achronim	Yoreh De'ah,Yoreh Deah,Shulchan Arukh Yoreh De'ah,Y.D.,Shulchan Aruch Yoreh Deah	יורה דעה	שולחן ערוך יורה דעה	Halakhah,Shulchan Arukh
Be'er Hetev on Shulchan Arukh, Choshen Mishpat	Zechariah Mendel ben Aryeh Leib						1741	Amsterdam	Achronim	Beer Hetev on Shulchan Arukh, Choshen Mishpat,Be'ir Hetev on Shulchan Arukh, Choshen Mishpat,Ba'er Hetev on Shulchan Arukh, Choshen Mishpat,Beir Hetev on Shulchan Arukh, Choshen Mishpat,Baer Hetev on Shulchan Arukh, Choshen Mishpat	באר היטב חשן משפט		Halakhah,Shulchan Arukh
Be'er Hetev on Shulchan Arukh, Yoreh De'ah	Zechariah Mendel ben Aryeh Leib						1741	Amsterdam	Achronim	Beer Hetev on Shulchan Arukh, Yoreh De'ah,Be'ir Hetev on Shulchan Arukh, Yoreh De'ah,Ba'er Hetev on Shulchan Arukh, Yoreh De'ah,Beir Hetev on Shulchan Arukh, Yoreh De'ah,Baer Hetev on Shulchan Arukh, Yoreh De'ah	באר היטב יורה דעה		Halakhah,Shulchan Arukh
Sefer Yetzirah	N/A	Sefer Yezirah (Book of Formation) is the title of the earliest extant book on Jewish esotericism, although some early commentators treated it as a treatise on mathematical and linguistic theory as opposed to Kabbalah. It describes how the universe was created by the God of Israel (a list of all of God's Hebrew names appears in the first sentence of the book) through 32 wondrous ways of wisdom. The book is traditionally ascribed to the patriarch Abraham. However, according to modern historians, the origin of the text is unknown and hotly debated. Some scholars believe it might have an early medieval origin, while others emphasize earlier traditions appearing in the book. The division of the letters into the three classes of vowels, mutes, and sonants also appears in Hellenic texts. The historical origin of the Sefer Yezirah was placed by Reitzenstein in the 2nd century BCE. According to Benton, the Hebrew grammatical form places its origin closer to the period of the Mishnah, around the 2nd century CE. Nonetheless, the ascription of its authorship to the biblical patriarch Abraham shows the high esteem which it enjoyed for centuries. It may even be said that this work had a greater influence on the development of the Jewish mind than almost any other book after the completion of the Talmud.		0	200		1562	Mantua	Tannaim	The Book of Formation	ספר יצירה		Kabbalah
Sefer HaBahir	anonymous	Sefer HaBahir (Book of the Brightness) is an anonymous mystical work, attributed to a 1st-century rabbinic sage Nehunya ben HaKanah because it begins with the words, "R. Nehunya ben HaKanah said". It is an early work of esoteric Jewish mysticism which eventually became known as Kabbalah. Medieval Kabbalists write that the Bahir did not come down to them as a unified book, but rather in pieces found in scattered scrolls and booklets. The scattered and fragmentary nature of the Bahir’​s text, which sometimes ends discussion in mid-sentence and which often jumps randomly from topic to topic supports this claim. The historical critical study of this book points to a later date of composition. For some time scholars believed that it was written in the 13th century by Isaac the Blind, or by those in his school. The first sentence, "And now men see not the light which is bright in the skies" (Job 37:21), being isolated, and having no connection with what follows, was taken to be an allusion to the blindness of its author. However, modern scholars of Kabbalah now hold that at least part of the Bahir was an adaptation of an older work, the Sefer Raza Rabba. This older book is mentioned in some of the works of the Geonim; however no complete copies of Sefer Raza Rabba are still in existence. However, quotes from this book can still be found in some older works. Scholar Ronit Meroz argues that elements in the Bahir date back to 10th century Babylonia, as witnessed by the acceptance of the Babylonian system of vowel points, which later fell into disuse, while other elements were written in 12th century Provence. The Bahir assumes the form of an exegetic midrash on the first chapters of Genesis. It is divided into sixty short paragraphs or a hundred and forty passages and is in the form of a dialogue between master and disciples. The Bahir contains commentaries explaining the mystical significance of Biblical verses; the mystical significance of the shapes of the Hebrew letters; the mystical significance of the cantillation signs and vowel points on the letters; the mystical significance of statements in the Sefer Yezirah and the use of sacred names in magic.					1651	Amsterdam	NA		ספר הבהיר		Kabbalah
Pardes Rimonim	Moshe Cordovero	Pardes Rimonim (Orchard of Pomegranates) is a primary text of Kabbalah composed by the Jewish mystic Moses ben Jacob Cordovero in Safed. It is composed of thirteen gates or sections each subdivided into chapters. He indicates in his introduction that the work is based upon notes he took during his study of the Zohar, the foundational work of the Kabbalahand was designed "in order not to become lost and confused in its [the Zohar] depths". The work is an encyclopaedic summary of the Kabbalah, including an effort to "elucidate all the tenets of the Cabala, such as the doctrines of the sefirot, emanation, the divine names, the import and significance of the alphabet, etc." Pardes Rimonim was the first comprehensive exposition of Medieval Kabbalah, though its rationally influenced scheme was superseded by the subsequent 16th century Safed mythological scheme of Isaac Luria.					1651	Amsterdam	Rishonim	The Garden of Pomegranates	פרדס רימונים		Kabbalah
Beur Eser Sfirot	Azriel of Gerona					Girona	1860	Berlin	Rishonim	Explanation of the 10 Sefirot (Azriel of Gerona),Beur Eser Sfirot	ביאור עשר ספירות		Kabbalah
Sefer HaQanah	anonymous			1400	100	Byzantine	1784	Koretz	Rishonim		ספר הקנה		Kabbalah
Sharae Ora	Yosef Giqatillah					Middle-Age Spain	1715	Offenbach	Rishonim	Gates of Light	שערי אורה		Kabbalah
Assarah Perakim L'Ramchal	Moshe Chaim Luzzatto								Achronim		עשרה פרקים להרמח''ל		Kabbalah
Maggid Meisharim	Joseph Karo	The Maggid Meisharim (Preacher of Righteousness), is  a strange and mystical diary, written by  Rabbi Joseph Karo during a period of fifty years recorded the nocturnal visits of an angelic being, his heavenly mentor, the personified Mishna (the authoritative collection of Jewish Oral Law). His visitor spurred him to acts of righteousness and even asceticism, exhorted him to study the Kabbala and reproved him for moral laxities. The discussions treat of various subjects. The maggid enjoins Karo to be modest in the extreme, to say his prayers with the utmost devotion, to be gentle and patient always. Especial stress is laid on asceticism; and Karo is often severely rebuked for taking more than one glass of wine, or for eating meat. Whenever Karo did not follow the severe instructions of his maggid, he suddenly heard its warning voice. His mentor also advised him in family affairs, told him what reputation he enjoyed in heaven, and praised or criticized his decisions in religious questions. Karo received new ideas from his maggid in regard to the Kabbala only; such information was in the nature of sundry Kabalistic interpretations of the Pentateuch, that in content, though not in form, remind one of the theories of Karo's pupil, Moses ben Jacob Cordovero. The present form of the Maggid Meisharim shows plainly that it was never intended for publication, being merely a collection of stray notes; nor does Karo's son Judah mention the book among his father's works (Introduction to the Responsa). It is known, on the other hand, that during Karo's lifetime the kabalists believed his Maggid to be actually existent.The Maggid Meisharim, furthermore, shows a knowledge of Karo's public and private life that no one could have possessed after his death; and the fact that the maggid promises things to its favourite that were never fulfilled such as a martyr's death proves that it is not the work of a forger or composed for Karo's glorification.				Safed	1646	Lublin	Achronim		מגיד מישרים		Kabbalah
